Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_20,Return,EMA_9,EMA_21,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,Ticker,predicted_return_5d,Signal
2018-01-03,4.58984041213989,16.7000007629395,16.7199993133545,16.3700008392334,16.4899997711182,55940900,16.625,16.625,0.0090635367247031,16.5799995422363,16.5636357394132,100,0.0119659336883479,0.0023931867376695,0.0095727469506783,0.359284400939941,PETR4,1.22497206988118,BUY
2018-01-04,4.59808588027954,16.7299995422363,16.9599990844727,16.6200008392334,16.7800006866455,37064900,16.6599998474121,16.6599998474121,0.0017963340075677,16.6099995422363,16.578759721488,100,0.0235976540583031,0.0066340802017963,0.0169635738565068,0.357906818389893,PETR4,1.20745234742638,BUY
2018-01-05,4.62556838989258,16.8299999237061,16.8600006103516,16.5699996948242,16.7000007629395,26958200,16.7024998664856,16.7024998664856,0.0059773092771022,16.6539996185303,16.6015997398715,100,0.0404191445615964,0.0133910930737563,0.0270280514878401,0.353056396756853,PETR4,1.18514403182299,BUY
2018-01-08,4.68053913116455,17.0300006866455,17.0300006866455,16.7099990844727,16.7399997711182,28400000,16.7680000305176,16.7680000305176,0.0118835866812891,16.7291998321533,16.6405452804873,100,0.069092234796539,0.0245313214183128,0.0445609133782261,0.350695340000853,PETR4,1.1326044716999,BUY
2018-01-09,4.68053913116455,17.0300006866455,17.1599998474121,16.9599990844727,17.0300006866455,35070900,16.8640003204346,16.8116668065389,0,16.7893600030518,16.6759503174108,100,0.0907695307379157,0.0377789632822334,0.0529905674556822,0.339931441639325,PETR4,0.891778858461545,BUY
2018-01-10,4.61732482910156,16.7999992370605,17.0499992370605,16.7700004577637,16.9200000762939,28547700,16.8840000152588,16.8100000108991,-0.0135056629660221,16.7914878498535,16.6872274919244,88.2327764390243,0.0883710625685374,0.0478973831394942,0.0404736794290431,0.335650537186293,PETR4,0.958923065244067,BUY
2018-01-11,4.74100303649902,17.25,17.2999992370605,16.8400001525879,16.8799991607666,37921500,16.9880001068115,16.8650000095367,0.0267857609152004,16.8831902798828,16.7383886290222,90.5706590651864,0.121382339962988,0.062594374504193,0.058787965458795,0.347389784530129,PETR4,0.930382085884827,BUY
2018-01-12,4.75474405288696,17.2999992370605,17.4099998474121,17.0200004577637,17.0400009155273,45912100,17.0819999694824,16.9133332570394,0.0028985064962636,16.9665520713184,16.7894441388438,90.7896172519565,0.149851144980982,0.0800457285995508,0.069805416381431,0.350433327752865,PETR4,0.870153150842041,BUY
2018-01-15,4.76848649978638,17.3500003814697,17.4400005340576,17.1499996185303,17.3199996948242,28945400,17.1459999084473,16.9569999694824,0.0028902396886854,17.0432417333486,16.8404037972644,91.0143319453746,0.174436754221674,0.0989239337239753,0.0755128204976982,0.346116726879614,PETR4,0.820241322747667,BUY
2018-01-16,4.85093879699707,17.6499996185303,17.8400001525879,17.2999992370605,17.3500003814697,58618300,17.2699996948242,17.0199999375777,0.0172910219287922,17.164593310385,16.9140034173795,92.2379724913182,0.215642663515116,0.122267679682203,0.0933749838329122,0.359965597497309,PETR4,0.869651275855067,BUY
2018-01-17,5.04607629776001,18.3600006103516,18.3600006103516,17.8099994659424,17.9200000762939,58488900,17.5819999694824,17.1316666603088,0.0402266859584445,17.4036747703783,17.0454577076496,94.2378778264727,0.302107285089566,0.158235600763676,0.14387168432589,0.384968125663307,PETR4,0.877425135667821,BUY
2018-01-18,5.00759887695313,18.2199993133545,18.5300006866455,17.9300003051758,18.3500003814697,48575800,17.7759998321533,17.215384556697,-0.0076253427202032,17.5669396789735,17.1522342172592,89.3492928568511,0.355239209524601,0.197636322515861,0.15760288700874,0.400327572506623,PETR4,0.833148399585706,BUY
2018-01-19,5.01859092712402,18.2600002288818,18.4200000762939,18.0300006866455,18.3099994659424,33470200,17.9680000305176,17.289999961853,0.0021954400128891,17.7055517889552,17.2529402183158,89.5166257486677,0.396009431793267,0.237310944371342,0.158698487421925,0.39958984515961,PETR4,0.759576113512088,BUY
2018-01-22,5.07630920410156,18.4699993133545,18.4699993133545,18.0900001525879,18.2600002288818,33920000,18.1919998168945,17.3686665852865,0.0115004973625627,17.8584412938351,17.3635819542284,90.3718461417144,0.440191049348666,0.277886965366807,0.162304083981859,0.398190510560109,PETR4,0.794980258233607,BUY
2018-01-23,5.01309394836426,18.2399997711182,18.4599990844727,18,18.3999996185303,35567700,18.3099998474121,17.4231249094009,-0.0124526015585731,17.9347529892917,17.4432563012184,82.4394182958809,0.451442312732492,0.312598034839944,0.138844277892548,0.403319710759707,PETR4,0.776531925512597,BUY
2018-01-24,5.31542015075684,19.3400001525879,19.6299991607666,18.4200000762939,18.4200000762939,89768200,18.5059997558594,17.5358822766472,0.0603070392145237,18.2158024219509,17.6156875604338,87.9066731120719,0.542862081566604,0.358650844185276,0.184211237381328,0.473796830680331,PETR4,0.778464530376862,BUY
2018-01-25,5.31542015075684,19.3400001525879,19.3400001525879,19.3400001525879,19.3400001525879,0,18.7299999237061,17.6361110475328,0,18.4406419680783,17.7724432506296,87.9066731120719,0.608300794111088,0.408580834170438,0.199719959940649,0.43995419991745,PETR4,0.566963626482403,BUY
2018-01-26,5.47757625579834,19.9300003051758,19.9799995422363,19.1000003814697,19.6200008392334,81989500,19.0639999389648,17.756842061093,0.0305067294691279,18.7385136354978,17.9685848010429,89.8687730226997,0.699703777147416,0.466805422765834,0.232898354381582,0.471385982835247,PETR4,0.711199518638505,BUY
2018-01-29,5.45558786392212,19.8500003814697,20.0499992370605,19.5699996948242,19.6700000762939,55726200,19.3400001525879,17.8614999771118,-0.0040140452825421,18.9608109846922,18.1396225810817,87.788898860997,0.756960208379983,0.524836379888664,0.232123828491319,0.472001237078181,PETR4,0.514903924430876,BUY
2018-01-30,5.35664510726929,19.4899997711182,19.7700004577637,19.3600006103516,19.7700004577637,46203000,19.5900001525879,18.0085000038147,-0.0181360505507913,19.0666487419774,18.2623841438123,78.9357029292639,0.764474911130957,0.572764086137123,0.191710824993835,0.473286846652466,PETR4,0.571821386746026,BUY
2018-01-31,5.41436433792114,19.7000007629395,19.9300003051758,19.6800003051758,19.7399997711182,41576600,19.6620002746582,18.1585000038147,0.010774807300536,19.1933191461698,18.3930765637329,80.1906719639454,0.778402749828938,0.613891818875486,0.164510930953452,0.470909252895691,PETR4,0.517913795444418,BUY
