number,value,params_gbr_learning_rate,params_gbr_max_depth,params_gbr_max_features,params_gbr_min_samples_leaf,params_gbr_min_samples_split,params_gbr_n_estimators,params_gbr_subsample,params_model,params_rfr_max_depth,params_rfr_max_features,params_rfr_min_samples_leaf,params_rfr_min_samples_split,params_rfr_n_estimators,state
0,0.6258616532670664,0.04128205343826222,5.0,log2,1.0,4.0,759.0,0.9330880728874675,gbr,,,,,,COMPLETE
1,0.6541625754697571,0.003741940611118496,6.0,sqrt,4.0,5.0,850.0,0.762378215816119,gbr,,,,,,COMPLETE
2,0.6593784483817523,,,,,,,,rfr,9.0,log2,8.0,10.0,363.0,COMPLETE
3,0.6553670405844454,,,,,,,,rfr,6.0,sqrt,10.0,3.0,647.0,COMPLETE
4,0.6591547896617188,,,,,,,,rfr,10.0,log2,5.0,4.0,716.0,COMPLETE
5,0.6474955028676884,0.02533074654001447,12.0,sqrt,10.0,5.0,380.0,0.8875664116805573,gbr,,,,,,COMPLETE
6,0.4483224197768193,0.0033802737047124404,3.0,sqrt,4.0,8.0,179.0,0.6356745158869479,gbr,,,,,,COMPLETE
7,0.6205188817478998,0.14625327121207682,4.0,log2,8.0,20.0,226.0,0.5993578407670862,gbr,,,,,,COMPLETE
8,0.6197936596436813,0.0015843250684388678,9.0,sqrt,9.0,4.0,794.0,0.811649063413779,gbr,,,,,,COMPLETE
9,0.6355360861064976,0.052571272727868656,18.0,sqrt,2.0,10.0,757.0,0.8566223936114975,gbr,,,,,,COMPLETE
10,0.6553938352501001,,,,,,,,rfr,20.0,log2,9.0,17.0,105.0,COMPLETE
11,0.6603412552571679,,,,,,,,rfr,10.0,log2,3.0,6.0,944.0,COMPLETE
12,0.6628332720691612,,,,,,,,rfr,11.0,log2,1.0,10.0,268.0,COMPLETE
13,0.6587333932699069,,,,,,,,rfr,15.0,log2,1.0,10.0,955.0,COMPLETE
14,0.6558166769145166,,,,,,,,rfr,13.0,log2,1.0,8.0,297.0,COMPLETE
15,0.6301434076287187,,,,,,,,rfr,3.0,sqrt,4.0,14.0,946.0,COMPLETE
16,0.6608803485402964,,,,,,,,rfr,16.0,log2,3.0,6.0,459.0,COMPLETE
17,0.6568675066775316,,,,,,,,rfr,17.0,log2,3.0,13.0,446.0,COMPLETE
18,0.6544791294154533,,,,,,,,rfr,16.0,sqrt,2.0,20.0,141.0,COMPLETE
19,0.6606670934361474,,,,,,,,rfr,13.0,log2,6.0,7.0,481.0,COMPLETE
20,0.6579071047370086,,,,,,,,rfr,19.0,log2,6.0,2.0,276.0,COMPLETE
21,0.6591631584282032,,,,,,,,rfr,13.0,log2,7.0,7.0,507.0,COMPLETE
22,0.6604400236188754,,,,,,,,rfr,13.0,log2,5.0,6.0,621.0,COMPLETE
23,0.658417246707629,,,,,,,,rfr,15.0,log2,3.0,9.0,417.0,COMPLETE
24,0.6582877885619713,,,,,,,,rfr,8.0,log2,1.0,13.0,233.0,COMPLETE
25,0.6596295321944903,,,,,,,,rfr,12.0,sqrt,6.0,5.0,509.0,COMPLETE
26,0.6599675209166694,,,,,,,,rfr,18.0,log2,4.0,8.0,366.0,COMPLETE
27,0.6590152854667747,,,,,,,,rfr,15.0,log2,2.0,11.0,730.0,COMPLETE
28,0.6568050106031769,,,,,,,,rfr,11.0,log2,7.0,5.0,194.0,COMPLETE
29,0.656398614158409,,,,,,,,rfr,8.0,log2,2.0,12.0,571.0,COMPLETE
30,0.6588946935051908,,,,,,,,rfr,14.0,sqrt,4.0,15.0,335.0,COMPLETE
31,0.6603441041495168,,,,,,,,rfr,13.0,log2,5.0,7.0,607.0,COMPLETE
32,0.6591067735983824,,,,,,,,rfr,12.0,log2,5.0,6.0,821.0,COMPLETE
33,0.6566593198733157,,,,,,,,rfr,17.0,log2,7.0,9.0,462.0,COMPLETE
34,0.6592978151479851,,,,,,,,rfr,11.0,log2,6.0,4.0,650.0,COMPLETE
35,0.6583770937411177,,,,,,,,rfr,14.0,log2,4.0,7.0,529.0,COMPLETE
36,0.5495153841048891,0.4122168351926882,20.0,log2,7.0,17.0,550.0,0.5113079429556288,gbr,,,,,,COMPLETE
37,0.6581716864327256,,,,,,,,rfr,16.0,log2,3.0,9.0,410.0,COMPLETE
38,0.6459156096586587,0.008350140084646438,14.0,log2,6.0,14.0,980.0,0.9881021681745668,gbr,,,,,,COMPLETE
39,0.6591461940936604,,,,,,,,rfr,9.0,log2,8.0,11.0,741.0,COMPLETE
40,0.46076554083476695,0.0010365897103367392,15.0,log2,4.0,12.0,535.0,0.6802484990227545,gbr,,,,,,COMPLETE
41,0.6603927861411185,,,,,,,,rfr,13.0,log2,5.0,7.0,590.0,COMPLETE
42,0.6600310476683009,,,,,,,,rfr,14.0,log2,5.0,6.0,585.0,COMPLETE
43,0.6597553234380278,,,,,,,,rfr,12.0,log2,6.0,8.0,653.0,COMPLETE
44,0.6595476388417121,,,,,,,,rfr,10.0,log2,5.0,3.0,482.0,COMPLETE
45,0.6570337649887625,,,,,,,,rfr,13.0,sqrt,8.0,5.0,616.0,COMPLETE
46,0.6624741673142873,,,,,,,,rfr,11.0,log2,2.0,4.0,792.0,COMPLETE
47,0.49132126155722466,0.4871537032370324,9.0,sqrt,2.0,20.0,102.0,0.5134390882561994,gbr,,,,,,COMPLETE
48,0.6570035544856375,,,,,,,,rfr,6.0,log2,2.0,3.0,847.0,COMPLETE
49,0.6576076171086283,,,,,,,,rfr,9.0,log2,1.0,4.0,795.0,COMPLETE
50,0.6601180040098724,,,,,,,,rfr,10.0,log2,2.0,2.0,689.0,COMPLETE
51,0.6596669627865004,,,,,,,,rfr,11.0,log2,1.0,6.0,871.0,COMPLETE
52,0.6605432531890648,,,,,,,,rfr,12.0,log2,3.0,7.0,552.0,COMPLETE
53,0.6581956150038574,,,,,,,,rfr,10.0,log2,3.0,10.0,406.0,COMPLETE
54,0.6600353637261185,,,,,,,,rfr,12.0,log2,2.0,5.0,539.0,COMPLETE
55,0.6588019029009664,,,,,,,,rfr,20.0,log2,10.0,8.0,350.0,COMPLETE
56,0.6609864310276062,,,,,,,,rfr,15.0,sqrt,3.0,3.0,777.0,COMPLETE
57,0.661631045061739,,,,,,,,rfr,17.0,sqrt,3.0,3.0,767.0,COMPLETE
58,0.6478087705020406,0.010429594494735305,17.0,log2,10.0,15.0,551.0,0.7270222402856266,gbr,,,,,,COMPLETE
59,0.6613366635534323,,,,,,,,rfr,17.0,sqrt,3.0,3.0,896.0,COMPLETE
60,0.6595076491699976,,,,,,,,rfr,18.0,sqrt,3.0,3.0,903.0,COMPLETE
61,0.6634885783262425,,,,,,,,rfr,16.0,sqrt,2.0,2.0,998.0,COMPLETE
62,0.6624998890972909,,,,,,,,rfr,17.0,sqrt,2.0,2.0,988.0,COMPLETE
63,0.6601555963115637,,,,,,,,rfr,17.0,sqrt,1.0,2.0,992.0,COMPLETE
64,0.6621256168174796,,,,,,,,rfr,18.0,sqrt,2.0,4.0,999.0,COMPLETE
65,0.6614713530172922,,,,,,,,rfr,19.0,sqrt,2.0,2.0,991.0,COMPLETE
66,0.6614708806298859,,,,,,,,rfr,19.0,sqrt,2.0,2.0,983.0,COMPLETE
67,0.6609988185991982,,,,,,,,rfr,19.0,sqrt,1.0,4.0,954.0,COMPLETE
68,0.6617752021163228,,,,,,,,rfr,18.0,sqrt,2.0,2.0,913.0,COMPLETE
69,0.6575862987298103,,,,,,,,rfr,18.0,sqrt,1.0,19.0,921.0,COMPLETE
70,0.6635560039535944,,,,,,,,rfr,16.0,sqrt,2.0,4.0,928.0,COMPLETE
71,0.6635860743233917,,,,,,,,rfr,16.0,sqrt,2.0,4.0,934.0,COMPLETE
72,0.6636101745710274,,,,,,,,rfr,16.0,sqrt,2.0,4.0,938.0,COMPLETE
73,0.663550231501723,,,,,,,,rfr,16.0,sqrt,2.0,4.0,945.0,COMPLETE
74,0.6603391727479363,,,,,,,,rfr,16.0,sqrt,1.0,4.0,936.0,COMPLETE
75,0.6597898415980883,,,,,,,,rfr,15.0,sqrt,2.0,5.0,852.0,COMPLETE
76,0.6601149801860455,,,,,,,,rfr,16.0,sqrt,1.0,4.0,956.0,COMPLETE
77,0.6286612651241897,0.12492676171518492,8.0,sqrt,6.0,2.0,381.0,0.6004100082973568,gbr,,,,,,COMPLETE
78,0.657631649453996,,,,,,,,rfr,14.0,sqrt,2.0,17.0,962.0,COMPLETE
79,0.6611330787426255,,,,,,,,rfr,16.0,sqrt,2.0,5.0,875.0,COMPLETE
80,0.6592129716974247,,,,,,,,rfr,15.0,sqrt,1.0,15.0,818.0,COMPLETE
81,0.6624812407864944,,,,,,,,rfr,17.0,sqrt,2.0,4.0,967.0,COMPLETE
82,0.6624225722016808,,,,,,,,rfr,17.0,sqrt,2.0,4.0,968.0,COMPLETE
83,0.6581465845582359,,,,,,,,rfr,16.0,sqrt,1.0,3.0,933.0,COMPLETE
84,0.659879685041391,,,,,,,,rfr,15.0,sqrt,2.0,5.0,885.0,COMPLETE
85,0.6609018423222954,,,,,,,,rfr,16.0,sqrt,2.0,6.0,931.0,COMPLETE
86,0.6302415373540391,,,,,,,,rfr,3.0,sqrt,3.0,3.0,119.0,COMPLETE
87,0.6588113173277643,,,,,,,,rfr,17.0,sqrt,4.0,2.0,849.0,COMPLETE
88,0.6585932509610772,,,,,,,,rfr,14.0,sqrt,9.0,4.0,970.0,COMPLETE
89,0.6353213522004093,0.14110805527806367,12.0,log2,8.0,8.0,960.0,0.9937137973475689,gbr,,,,,,COMPLETE
90,0.6592259390110158,,,,,,,,rfr,17.0,sqrt,1.0,4.0,917.0,COMPLETE
91,0.66352009336144,,,,,,,,rfr,16.0,sqrt,2.0,4.0,968.0,COMPLETE
92,0.6612964695309482,,,,,,,,rfr,16.0,sqrt,2.0,5.0,946.0,COMPLETE
93,0.6612412917744459,,,,,,,,rfr,15.0,sqrt,3.0,2.0,998.0,COMPLETE
94,0.6619062303334123,,,,,,,,rfr,16.0,sqrt,2.0,3.0,201.0,COMPLETE
95,0.6596190510019133,,,,,,,,rfr,11.0,sqrt,1.0,6.0,902.0,COMPLETE
96,0.6601151616529268,,,,,,,,rfr,17.0,sqrt,2.0,5.0,976.0,COMPLETE
97,0.6617363235785818,,,,,,,,rfr,18.0,sqrt,2.0,4.0,825.0,COMPLETE
98,0.6609683872529464,,,,,,,,rfr,15.0,sqrt,3.0,3.0,939.0,COMPLETE
99,0.6570615125735576,,,,,,,,rfr,16.0,sqrt,1.0,12.0,878.0,COMPLETE
100,0.6595894472580253,,,,,,,,rfr,14.0,sqrt,3.0,4.0,969.0,COMPLETE
101,0.6624635726316859,,,,,,,,rfr,17.0,sqrt,2.0,4.0,964.0,COMPLETE
102,0.6623663907049526,,,,,,,,rfr,17.0,sqrt,2.0,3.0,1000.0,COMPLETE
103,0.6609933926122118,,,,,,,,rfr,18.0,sqrt,2.0,5.0,302.0,COMPLETE
104,0.6623016045299164,,,,,,,,rfr,17.0,sqrt,2.0,2.0,917.0,COMPLETE
105,0.6603715287622924,,,,,,,,rfr,10.0,sqrt,3.0,4.0,952.0,COMPLETE
106,0.6576776260657038,,,,,,,,rfr,15.0,sqrt,1.0,6.0,889.0,COMPLETE
107,0.6629961156629687,,,,,,,,rfr,16.0,sqrt,2.0,3.0,690.0,COMPLETE
108,0.6447322365780419,0.013078969577284036,20.0,sqrt,5.0,17.0,639.0,0.7680096015858635,gbr,,,,,,COMPLETE
109,0.6593515837690498,,,,,,,,rfr,16.0,sqrt,4.0,3.0,734.0,COMPLETE
110,0.6629871680354374,,,,,,,,rfr,16.0,sqrt,2.0,2.0,689.0,COMPLETE
111,0.6624160427227392,,,,,,,,rfr,16.0,sqrt,2.0,2.0,674.0,COMPLETE
112,0.663206274823522,,,,,,,,rfr,16.0,sqrt,2.0,3.0,701.0,COMPLETE
113,0.6627857144138014,,,,,,,,rfr,16.0,sqrt,2.0,2.0,635.0,COMPLETE
114,0.66335776264886,,,,,,,,rfr,15.0,sqrt,2.0,2.0,626.0,COMPLETE
115,0.6615255666728788,,,,,,,,rfr,15.0,sqrt,3.0,2.0,701.0,COMPLETE
116,0.6601255819993588,,,,,,,,rfr,16.0,sqrt,1.0,3.0,664.0,COMPLETE
117,0.6633353844114193,,,,,,,,rfr,15.0,sqrt,2.0,2.0,620.0,COMPLETE
118,0.6635615322365707,,,,,,,,rfr,15.0,sqrt,2.0,3.0,633.0,COMPLETE
119,0.6637264466777926,,,,,,,,rfr,14.0,sqrt,2.0,3.0,706.0,COMPLETE
120,0.6608733414681437,,,,,,,,rfr,14.0,sqrt,3.0,3.0,631.0,COMPLETE
121,0.6636355378930499,,,,,,,,rfr,15.0,sqrt,2.0,3.0,708.0,COMPLETE
122,0.6635325502837244,,,,,,,,rfr,15.0,sqrt,2.0,3.0,718.0,COMPLETE
123,0.6631112476849583,,,,,,,,rfr,15.0,sqrt,2.0,3.0,586.0,COMPLETE
124,0.6635817224336391,,,,,,,,rfr,14.0,sqrt,2.0,3.0,749.0,COMPLETE
125,0.6635469684147328,,,,,,,,rfr,14.0,sqrt,2.0,2.0,611.0,COMPLETE
126,0.6636913753664331,,,,,,,,rfr,14.0,sqrt,2.0,3.0,712.0,COMPLETE
127,0.6635611540353737,,,,,,,,rfr,14.0,sqrt,2.0,3.0,752.0,COMPLETE
128,0.6608418028795255,,,,,,,,rfr,14.0,sqrt,3.0,3.0,754.0,COMPLETE
129,0.6326074798778217,0.004096039464129399,15.0,log2,1.0,8.0,354.0,0.6954392577394298,gbr,,,,,,COMPLETE
130,0.6613376683879983,,,,,,,,rfr,13.0,sqrt,2.0,5.0,773.0,COMPLETE
131,0.6621201513307231,,,,,,,,rfr,13.0,sqrt,2.0,4.0,791.0,COMPLETE
132,0.6637298969484112,,,,,,,,rfr,14.0,sqrt,2.0,3.0,711.0,COMPLETE
133,0.6636913753664332,,,,,,,,rfr,14.0,sqrt,2.0,3.0,712.0,COMPLETE
134,0.6637393701971461,,,,,,,,rfr,14.0,sqrt,2.0,3.0,726.0,COMPLETE
135,0.6620562632487983,,,,,,,,rfr,14.0,sqrt,1.0,3.0,720.0,COMPLETE
136,0.6637017175489632,,,,,,,,rfr,14.0,sqrt,2.0,4.0,755.0,COMPLETE
137,0.6623968931242621,,,,,,,,rfr,13.0,sqrt,2.0,4.0,759.0,COMPLETE
138,0.6610074078753679,,,,,,,,rfr,14.0,sqrt,3.0,4.0,744.0,COMPLETE
139,0.6613524386688561,,,,,,,,rfr,13.0,sqrt,1.0,3.0,730.0,COMPLETE
140,0.6591051791663158,,,,,,,,rfr,14.0,sqrt,2.0,5.0,711.0,COMPLETE
141,0.6638976497181905,,,,,,,,rfr,14.0,sqrt,2.0,3.0,668.0,COMPLETE
142,0.6636834562910985,,,,,,,,rfr,14.0,sqrt,2.0,3.0,745.0,COMPLETE
143,0.6638764103290055,,,,,,,,rfr,14.0,sqrt,2.0,3.0,669.0,COMPLETE
144,0.6638764103290055,,,,,,,,rfr,14.0,sqrt,2.0,3.0,669.0,COMPLETE
145,0.6622062353645749,,,,,,,,rfr,13.0,sqrt,2.0,3.0,668.0,COMPLETE
146,0.6635946743866533,,,,,,,,rfr,14.0,sqrt,2.0,3.0,647.0,COMPLETE
147,0.6599955860631999,,,,,,,,rfr,12.0,sqrt,3.0,3.0,653.0,COMPLETE
148,0.6639831259869745,,,,,,,,rfr,14.0,sqrt,2.0,4.0,677.0,COMPLETE
149,0.6619323136430952,,,,,,,,rfr,13.0,sqrt,1.0,4.0,673.0,COMPLETE
150,0.6638946723168382,,,,,,,,rfr,14.0,sqrt,2.0,4.0,686.0,COMPLETE
151,0.6638946723168382,,,,,,,,rfr,14.0,sqrt,2.0,4.0,686.0,COMPLETE
152,0.6638998715741601,,,,,,,,rfr,14.0,sqrt,2.0,4.0,687.0,COMPLETE
153,0.6638946723168382,,,,,,,,rfr,14.0,sqrt,2.0,4.0,686.0,COMPLETE
154,0.6617929227336785,,,,,,,,rfr,13.0,sqrt,2.0,5.0,685.0,COMPLETE
155,0.6636645169565192,,,,,,,,rfr,14.0,sqrt,2.0,4.0,707.0,COMPLETE
156,0.659162933994281,,,,,,,,rfr,14.0,sqrt,2.0,5.0,727.0,COMPLETE
157,0.6612171589004717,,,,,,,,rfr,14.0,sqrt,3.0,4.0,685.0,COMPLETE
158,0.587356984784846,0.21234098215078404,7.0,log2,3.0,11.0,649.0,0.5637699565395997,gbr,,,,,,COMPLETE
159,0.6638707506637387,,,,,,,,rfr,12.0,sqrt,2.0,4.0,705.0,COMPLETE
160,0.659269940999256,,,,,,,,rfr,12.0,sqrt,1.0,5.0,653.0,COMPLETE
161,0.6639301138255926,,,,,,,,rfr,14.0,sqrt,2.0,4.0,701.0,COMPLETE
162,0.6620441316020407,,,,,,,,rfr,13.0,sqrt,2.0,4.0,671.0,COMPLETE
163,0.6638678168041499,,,,,,,,rfr,14.0,sqrt,2.0,4.0,695.0,COMPLETE
164,0.6638163415544354,,,,,,,,rfr,14.0,sqrt,2.0,4.0,692.0,COMPLETE
165,0.6623961352298562,,,,,,,,rfr,13.0,sqrt,2.0,4.0,691.0,COMPLETE
166,0.6617275056151901,,,,,,,,rfr,13.0,sqrt,2.0,5.0,665.0,COMPLETE
167,0.6611526466596449,,,,,,,,rfr,14.0,sqrt,3.0,4.0,729.0,COMPLETE
168,0.6638883790232668,,,,,,,,rfr,14.0,sqrt,2.0,4.0,694.0,COMPLETE
169,0.6636030806477392,,,,,,,,rfr,12.0,sqrt,2.0,4.0,688.0,COMPLETE
170,0.658841111118255,,,,,,,,rfr,14.0,sqrt,2.0,5.0,648.0,COMPLETE
171,0.6639033616901228,,,,,,,,rfr,14.0,sqrt,2.0,4.0,698.0,COMPLETE
172,0.6633177576180345,,,,,,,,rfr,15.0,sqrt,2.0,4.0,677.0,COMPLETE
173,0.6588323446544531,,,,,,,,rfr,14.0,sqrt,2.0,5.0,697.0,COMPLETE
174,0.6594867427757052,,,,,,,,rfr,13.0,sqrt,9.0,4.0,725.0,COMPLETE
175,0.6637111577082054,,,,,,,,rfr,14.0,sqrt,2.0,4.0,661.0,COMPLETE
176,0.6588839586235613,,,,,,,,rfr,15.0,sqrt,7.0,5.0,661.0,COMPLETE
177,0.6623207869515735,,,,,,,,rfr,13.0,sqrt,2.0,4.0,639.0,COMPLETE
178,0.6607927492960859,,,,,,,,rfr,14.0,sqrt,2.0,6.0,606.0,COMPLETE
179,0.662047039605041,,,,,,,,rfr,13.0,sqrt,1.0,4.0,700.0,COMPLETE
180,0.6587279638512622,,,,,,,,rfr,14.0,sqrt,2.0,5.0,678.0,COMPLETE
181,0.6630980089428931,,,,,,,,rfr,14.0,sqrt,2.0,4.0,777.0,COMPLETE
182,0.6638460057561948,,,,,,,,rfr,14.0,sqrt,2.0,4.0,704.0,COMPLETE
183,0.6637620490562973,,,,,,,,rfr,15.0,sqrt,2.0,4.0,709.0,COMPLETE
184,0.6637829489379585,,,,,,,,rfr,15.0,sqrt,2.0,3.0,699.0,COMPLETE
185,0.663353558232297,,,,,,,,rfr,15.0,sqrt,2.0,4.0,733.0,COMPLETE
186,0.6636027245703184,,,,,,,,rfr,15.0,sqrt,2.0,3.0,693.0,COMPLETE
187,0.659056464575916,,,,,,,,rfr,15.0,sqrt,2.0,9.0,713.0,COMPLETE
188,0.6459179039041862,0.07453828298938778,10.0,sqrt,7.0,2.0,261.0,0.8219698248903752,gbr,,,,,,COMPLETE
189,0.6632917500449362,,,,,,,,rfr,15.0,sqrt,2.0,4.0,679.0,COMPLETE
190,0.6591417583994619,,,,,,,,rfr,14.0,sqrt,2.0,5.0,722.0,COMPLETE
191,0.6637712491208544,,,,,,,,rfr,14.0,sqrt,2.0,3.0,702.0,COMPLETE
192,0.6636769528668449,,,,,,,,rfr,15.0,sqrt,2.0,3.0,697.0,COMPLETE
193,0.6622527897414469,,,,,,,,rfr,13.0,sqrt,2.0,3.0,678.0,COMPLETE
194,0.6636292625668945,,,,,,,,rfr,14.0,sqrt,2.0,4.0,740.0,COMPLETE
195,0.6636130150511452,,,,,,,,rfr,14.0,sqrt,2.0,3.0,651.0,COMPLETE
196,0.6637620490562973,,,,,,,,rfr,15.0,sqrt,2.0,3.0,709.0,COMPLETE
197,0.661410028694393,,,,,,,,rfr,15.0,sqrt,3.0,4.0,696.0,COMPLETE
198,0.6636371023732246,,,,,,,,rfr,15.0,sqrt,2.0,4.0,663.0,COMPLETE
199,0.6576398316860848,,,,,,,,rfr,14.0,sqrt,1.0,14.0,726.0,COMPLETE
